tempo,posizione,velocita,input
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.554598048298676094e+00
4.454342984409799533e-02,9.391027987953448175e+00,-2.550354149708776319e+01,2.053332554270844490e+00
8.908685968819599066e-02,7.883737742290820805e+00,-4.042661989512784970e+01,1.449806376354145776e+00
1.336302895322939999e-01,5.922630201911049497e+00,-4.615900267140899160e+01,8.821614423141269645e-01
1.781737193763919813e-01,3.874821687199275111e+00,-4.501345708289399283e+01,4.531016801806294625e-01
2.227171492204899628e-01,1.989940322888878788e+00,-3.900040694466328972e+01,2.051731808077262853e-01
2.672605790645879997e-01,4.397301323221771696e-01,-3.033634792010723302e+01,1.167318706115560156e-01
3.118040089086859812e-01,-6.969989786848868052e-01,-2.072442300092894385e+01,1.187067247658405433e-01
3.563474387527839626e-01,-1.413857993109740585e+00,-1.163311094449263550e+01,1.257787100847642670e-01
4.008908685968819441e-01,-1.753646512893372922e+00,-3.908163635980052675e+00,7.120418676109008249e-02
4.454342984409799255e-01,-1.790978605399816459e+00,1.902684178150517269e+00,-6.646036423990342445e-02
4.899777282850779625e-01,-1.611580790754070014e+00,5.859963991147489892e+00,-2.537510485569167140e-01
5.345211581291759995e-01,-1.297481238585471486e+00,7.917751705651650873e+00,-4.132551955523154352e-01
5.790645879732739809e-01,-9.289185735923111142e-01,8.426491478091056919e+00,-4.518879195993522613e-01
6.236080178173719624e-01,-5.636923294939611973e-01,7.837974829095770701e+00,-2.974861043596577215e-01
6.681514476614699438e-01,-2.420624259872582451e-01,6.508014320117974094e+00,6.829348067465523808e-02
7.126948775055679253e-01,1.073121455579581496e-02,4.807158876957093874e+00,5.920821337116811689e-01
7.572383073496659067e-01,1.847019018727446005e-01,3.026512979204508458e+00,1.152949633879632341e+00
8.017817371937638882e-01,2.842451524736527291e-01,1.491268094531297272e+00,1.589022859991826131e+00
8.463251670378618696e-01,3.217382281101541786e-01,2.568437969524141606e-01,1.740014459880386166e+00
8.908685968819598511e-01,3.112031015921377097e-01,-6.739876644193356636e-01,1.493858938571345218e+00
9.354120267260579435e-01,2.671216955079815381e-01,-1.254732603207785679e+00,8.237794292612057312e-01
9.799554565701559250e-01,2.039705556971375677e-01,-1.518165582942726965e+00,-1.957401202667923279e-01
1.024498886414253906e+00,1.364198671704205390e-01,-1.477891405656783119e+00,-1.399955655440493052e+00
1.069042316258351999e+00,7.374021486480558663e-02,-1.309756326573836338e+00,-2.570148508020367650e+00
1.113585746102449869e+00,2.168477242650631437e-02,-1.026810205848226465e+00,-3.486193697383461299e+00
