tempo,posizione,velocita,input
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.454342984409799533e-02,9.389142984018116422e+00,-2.551787303024070042e+01,5.355255885986044184e+00
8.908685968819599066e-02,7.887112805432291651e+00,-4.026872672651654739e+01,9.265890638072294294e+00
1.336302895322939999e-01,5.937412599668193458e+00,-4.583296678866324925e+01,1.080635961457941185e+01
1.781737193763919813e-01,3.906581279089964553e+00,-4.444635072953188626e+01,9.879729905903621656e+00
2.227171492204899628e-01,2.048892754718286024e+00,-3.840662470207148260e+01,7.198237491042664082e+00
2.672605790645879997e-01,5.224666397970407772e-01,-2.985613405283949362e+01,3.955332921702405358e+00
3.118040089086859812e-01,-5.992671181035131855e-01,-2.054491348913194315e+01,1.337293327029050349e+00
3.563474387527839626e-01,-1.313458937709064855e+00,-1.170459221456706977e+01,8.228432570938976065e-02
4.008908685968819441e-01,-1.662062913838199707e+00,-4.200011236556047578e+00,2.628020003836059604e-01
4.454342984409799255e-01,-1.713458152883554408e+00,1.569585341648572996e+00,1.361400517161392987e+00
4.899777282850779625e-01,-1.549319628992603892e+00,5.479649128266270708e+00,2.579629454326788807e+00
5.345211581291759995e-01,-1.252074351363369864e+00,7.619771225341788856e+00,3.224881227449340582e+00
5.790645879732739809e-01,-8.933246834010742932e-01,8.244159554146923696e+00,2.999679304178436645e+00
6.236080178173719624e-01,-5.348077982741245018e-01,7.710172271160814716e+00,2.077118318044031131e+00
6.681514476614699438e-01,-2.183695734952923462e-01,6.403278836974029886e+00,9.527148826839878515e-01
7.126948775055679253e-01,2.999276878323026141e-02,4.713882084057878785e+00,1.651122072193185186e-01
7.572383073496659067e-01,2.006502834053993656e-01,2.970585702793006710e+00,2.938478641655431489e-02
8.017817371937638882e-01,2.971500033345924052e-01,1.412026348584389357e+00,5.071402049814213164e-01
8.463251670378618696e-01,3.314636707078921773e-01,1.855934639202434511e-01,1.261607210595758310e+00
8.908685968819598511e-01,3.192219899566654528e-01,-6.697690569136175442e-01,1.853409312050379620e+00
9.354120267260579435e-01,2.768636785936579581e-01,-1.179145198594047983e+00,1.968871065205380466e+00
9.799554565701559250e-01,2.184819806096873207e-01,-1.405723672245413391e+00,1.565958649591611351e+00
1.024498886414253906e+00,1.547805607078071854e-01,-1.423496417581684659e+00,8.724910422729841297e-01
1.069042316258351999e+00,9.380470307033123012e-02,-1.297641791236431974e+00,2.490932065208958379e-01
1.113585746102449869e+00,4.064448622389180837e-02,-1.075482958620752161e+00,-4.472372906092925149e-03
1.158129175946547962e+00,-1.173979610530465068e-03,-7.964184492091401779e-01,2.017541904575474443e-01
1.202672605790645832e+00,-2.992692335496463518e-02,-4.946235344592199712e-01,7.158488275884328234e-01
1.247216035634743925e+00,-4.540733462438734103e-02,-2.058126021536575423e-01,1.237459098344519504e+00
1.291759465478841795e+00,-4.898666266495649291e-02,3.443576019374428032e-02,1.481497678412219354e+00
1.336302895322939888e+00,-4.343520458556195118e-02,2.001148917241078184e-01,1.324392911521136584e+00
1.380846325167037758e+00,-3.243617850589532864e-02,2.805556662995650763e-01,8.590144060961559802e-01
1.425389755011135851e+00,-1.958467214994518563e-02,2.851218705785882324e-01,3.349811134503123400e-01
1.469933184855233943e+00,-7.778892737494467330e-03,2.396131792252667869e-01,2.093975729013231035e-02
1.514476614699331813e+00,1.464764537953682812e-03,1.751561173426042228e-01,6.366903957784003643e-02
1.559020044543429906e+00,7.937769040277044622e-03,1.179650321244464922e-01,4.169991169559961741e-01
1.603563474387527776e+00,1.227142346695303879e-02,8.025477546735373946e-02,8.742669674512879574e-01
1.648106904231625869e+00,1.533290630823101047e-02,5.919798185064266416e-02,1.183073959528351926e+00
1.692650334075723739e+00,1.762560079895841847e-02,4.324144933314249400e-02,1.179347504763243570e+00
1.737193763919821832e+00,1.908713560969298867e-02,2.061039580019644046e-02,8.701310198422935738e-01
1.781737193763919702e+00,1.929978965084531983e-02,-1.244606611211952069e-02,4.237806560147427959e-01
1.826280623608017795e+00,1.791308822672770321e-02,-4.948484961796294906e-02,7.590802846685040794e-02
1.870824053452115887e+00,1.502767365977024892e-02,-7.745659697503221031e-02,3.067417080475864921e-03
1.915367483296213758e+00,1.132005038878037238e-02,-8.472943792271162011e-02,2.313848462745211887e-01
1.959910913140311850e+00,7.845633043931019707e-03,-6.771212736454089443e-02,6.270342043076466698e-01
2.004454342984409720e+00,5.549906693588763096e-03,-3.359550218812688838e-02,9.712696566065660564e-01
2.048997772828507813e+00,4.882361655453552537e-03,2.591398967662694730e-03,1.078313646295815165e+00
2.093541202672605905e+00,5.587560541149783934e-03,2.581867046584734871e-02,8.929585437393443570e-01
2.138084632516703998e+00,6.864654780029298513e-03,2.797137216153142841e-02,5.169092545244522441e-01
2.182628062360801646e+00,7.802501499941221982e-03,1.185734291424131101e-02,1.515307821419925594e-01
2.227171492204899739e+00,7.822024951363240261e-03,-1.080470986248122447e-02,-1.104448481998931975e-02
2.271714922048997831e+00,6.954719732967217134e-03,-2.588451847855460786e-02,1.101077526848319721e-01
2.316258351893095924e+00,5.766954978620808872e-03,-2.436221216470964984e-02,4.434870792457354938e-01
2.360801781737193572e+00,5.024885839641115952e-03,-6.946628524218796674e-03,8.055486330269262529e-01
2.405345211581291665e+00,5.244382157205447134e-03,1.670569034488854354e-02,1.000050832158011271e+00
2.449888641425389757e+00,6.405807115593127425e-03,3.328586291813398490e-02,9.228551529064612513e-01
2.494432071269487849e+00,7.960690686282226661e-03,3.334467170426447941e-02,6.164629640311131142e-01
2.538975501113585942e+00,9.117728309194479339e-03,1.631751648548270331e-02,2.458629830497950364e-01
2.583518930957683590e+00,9.285100699547212816e-03,-9.140758994427292811e-03,9.301151643757665788e-03
2.628062360801781683e+00,8.375832218167863705e-03,-2.976114875268704926e-02,3.201307821376719875e-02
2.672605790645879775e+00,6.866992449472820656e-03,-3.484201077511989153e-02,2.996389693019116951e-01
2.717149220489977868e+00,5.545005607109660707e-03,-2.192925649211815639e-02,6.665731563214001287e-01
2.761692650334075516e+00,5.079706320695614834e-03,1.866916249221740182e-03,9.344445731153369072e-01
