tempo,angolo,velocita angolare,input
0.000000000000000000e+00,7.853981633974482790e-01,5.000000000000000104e-03,6.269754177085031799e+00
1.960784313725490169e-01,1.132973185634085445e+00,4.339130789074600258e+00,2.810122974701223697e+01
3.921568627450980338e-01,2.482080718716617618e+00,8.802706738092414440e+00,2.636176376092817009e+01
5.882352941176470784e-01,4.252494728467545393e+00,8.308827600099469635e+00,3.751878320576393477e+00
7.843137254901960675e-01,5.420477305476342877e+00,3.229701307995746618e+00,-1.121989857907196075e+01
9.803921568627450567e-01,5.676504913872678415e+00,4.550003057334728318e-01,3.672003611816521129e-02
1.176470588235294157e+00,6.043559904995159826e+00,4.003428520819223735e+00,1.930458273875266073e+01
1.372549019607843146e+00,7.180931828856879306e+00,6.546147101995315687e+00,1.379648572358094505e+01
1.568627450980392135e+00,8.057388545467020435e+00,1.072234745126336541e+00,-1.626453746782375376e+01
1.764705882352941124e+00,7.285668546857659855e+00,-8.651914598722333594e+00,-3.061291286547899659e+01
1.960784313725490113e+00,5.357254686259662613e+00,-8.424173950590709836e+00,-6.528955222998362729e-01
2.156862745098039102e+00,4.864278526961499871e+00,4.692655409749565187e+00,4.545172658886430384e+01
2.352941176470588314e+00,7.191017867314994483e+00,1.716759788496664996e+01,5.146575151989509322e+01
2.549019607843137081e+00,1.059162972647833456e+01,1.544319156765511991e+01,6.627995771402811265e+00
2.745098039215686292e+00,1.247576189400289515e+01,2.489625407642549249e+00,-3.343479810719636447e+01
2.941176470588235059e+00,1.186569727784127970e+01,-6.107294376248272982e+00,-1.440102218066041395e+01
3.137254901960784270e+00,1.133692536335655632e+01,3.395249149949952638e+00,4.374060413747166365e+01
3.333333333333333481e+00,1.362111391164177299e+01,1.867969945244617946e+01,6.649970672115112791e+01
3.529411764705882248e+00,1.774978505172098764e+01,2.060622326318682696e+01,1.692898732521956262e+01
3.725490196078431460e+00,2.021688177737964054e+01,1.487263297015458896e+00,-5.763602204672248774e+01
3.921568627450980227e+00,1.811287251036150892e+01,-2.121763732426018834e+01,-8.392926345344622518e+01
4.117647058823528994e+00,1.302291858650715994e+01,-2.828237687663372668e+01,-4.882630458865392598e+01
4.313725490196078205e+00,8.304648543050207721e+00,-1.852973287887483167e+01,-3.857457947183327462e+00
4.509803921568627416e+00,5.795888392819092516e+00,-7.305185121039703411e+00,7.608560907191923128e+00
4.705882352941176627e+00,5.037993994754256910e+00,-1.745311704131827124e+00,-3.500735963155489294e+00
4.901960784313725839e+00,4.761006316868820143e+00,-1.368440658059762116e+00,-7.727839441326928238e+00
5.098039215686274161e+00,4.497554908991774347e+00,-1.414035562902819620e+00,-9.574296844986335486e+00
5.294117647058823373e+00,3.964340266619199582e+00,-5.216569500821014671e+00,-3.422806834901736295e+01
5.490196078431372584e+00,1.843492745788310128e+00,-1.790537942278799122e+01,-7.244576963447715912e+01
5.686274509803921795e+00,-2.992356239057252676e+00,-2.945390257420405788e+01,-7.649255210414956707e+01
5.882352941176470118e+00,-8.914996473478154826e+00,-2.719874926075910082e+01,-2.547726782777372989e+01
6.078431372549019329e+00,-1.276502189310478208e+01,-1.036781189509811796e+01,3.238318719868040318e+01
6.274509803921568540e+00,-1.293377458440817129e+01,6.419584722584509962e+00,3.229411192610341175e+01
6.470588235294117752e+00,-1.161507954080160410e+01,3.418678979581300403e+00,-2.118857408360824834e+01
6.666666666666666963e+00,-1.240585148107433255e+01,-1.143341676226139292e+01,-5.365795575185483557e+01
6.862745098039215286e+00,-1.526419586286702668e+01,-1.452084318017605646e+01,-1.567995114623882102e+01
7.058823529411764497e+00,-1.702928655328232921e+01,-1.348117122286667247e+00,4.902697081000784607e+01
7.254901960784313708e+00,-1.557056843472622099e+01,1.480599390991408093e+01,5.521256526128347275e+01
7.450980392156862919e+00,-1.241451480131579821e+01,1.280011393292503286e+01,-1.564019338554280480e+01
7.647058823529411242e+00,-1.212852909796534284e+01,-1.162058253772639915e+01,-8.874877195488703308e+01
7.843137254901960453e+00,-1.651717128867640128e+01,-3.041136007129292906e+01,-8.378152849267070224e+01
8.039215686274509665e+00,-2.246566759068481645e+01,-2.525248264268315879e+01,-5.318394208687051261e+00
8.235294117647057988e+00,-2.523742343147907263e+01,-8.703173030012791855e-01,7.099854775957214770e+01
8.431372549019608087e+00,-2.291216616034348874e+01,2.218737772025329136e+01,8.732638740460127735e+01
8.627450980392156410e+00,-1.751076322762249404e+01,2.957717501957132811e+01,5.459918812717888414e+01
8.823529411764706509e+00,-1.227501957046797010e+01,2.274536642671774445e+01,1.853514232150659069e+01
