tempo,angolo,velocita angolare,input
0.000000000000000000e+00,9.424777960769379348e-01,2.000000000000000042e-03,2.842034014115293061e+01
1.960784313725490169e-01,8.314858322414845349e-01,-6.802721109733441907e+00,-6.633077213646993187e+01
3.921568627450980338e-01,-2.624202075519611377e+00,-2.543949006851812555e+01,-6.836662954260398806e+01
5.882352941176470784e-01,-6.871018190733885866e+00,-1.068881747233447577e+01,6.370298546676544049e+01
7.843137254901960675e-01,-5.458328456848729360e+00,2.284222959634081818e+01,1.052247063282832187e+02
9.803921568627450567e-01,7.748535838573999968e-02,2.801482164994341417e+01,2.221848751727309690e+01
1.176470588235294157e+00,3.367190184200016034e+00,3.177153229855747441e+00,-6.852587812324790661e+01
1.372549019607843146e+00,1.420415776230843363e+00,-2.047563626080354027e+01,-6.949641313051972702e+01
1.568627450980392135e+00,-2.662608490134302119e+00,-1.576238599662153916e+01,9.845473130495523861e+00
1.764705882352941124e+00,-4.050751240431492484e+00,4.501993050842365562e-01,3.153670890864851017e+01
1.960784313725490113e+00,-3.508385087503007593e+00,2.759490593128714586e+00,1.123600105709616770e-01
2.156862745098039102e+00,-3.140260502014300403e+00,1.980250700821807763e+00,9.706342950074837717e+00
2.352941176470588314e+00,-2.570893692822175947e+00,2.847161795612417112e+00,-5.132238532173484913e+00
2.549019607843137081e+00,-2.492053057291013562e+00,-1.614609321471625059e+00,-6.568013166782394663e+00
2.745098039215686292e+00,-2.004268208321502431e+00,1.064677252942830776e+01,7.357296751280550495e+01
2.941176470588235059e+00,1.732113891018447038e+00,2.136599533776247029e+01,1.587544942666014336e+01
3.137254901960784270e+00,3.092182402151187670e+00,-1.377443271511612544e+01,-1.503894140940868454e+02
3.333333333333333481e+00,-3.251493429694205961e+00,-4.057520448989870943e+01,-6.063009017097144948e+01
3.529411764705882248e+00,-8.154103552808695810e+00,-5.773938020945390548e-01,1.366668193471378743e+02
3.725490196078431460e+00,-4.083574725080778123e+00,3.178398818126772696e+01,6.392897499448847753e+01
3.921568627450980227e+00,4.787892775641606757e-01,9.088334953083613499e+00,-6.269894611885808899e+01
4.117647058823528994e+00,1.399416265685724525e-01,-5.329473196451851358e+00,9.889052298690764076e+00
4.313725490196078205e+00,4.965755293907845869e-01,8.837054505151854755e+00,3.853079337412519578e+01
4.509803921568627416e+00,1.612484528302049025e+00,-3.788931553098470850e+00,-7.543097795077540013e+01
4.705882352941176627e+00,-1.741811241328473869e+00,-2.608057291156425705e+01,-6.805710724042275217e+01
4.901960784313725839e+00,-5.903136636137945814e+00,-9.816416383885995245e+00,6.724424089382313241e+01
5.098039215686274161e+00,-4.823437085294405513e+00,1.640347201494202167e+01,5.801561963629069396e+01
5.294117647058823373e+00,-2.158013110120001521e+00,6.006719315920754809e+00,-4.444766994648666980e+01
5.490196078431372584e+00,-2.434723077554095561e+00,-3.977847000910746722e+00,6.907062774265906313e+00
5.686274509803921795e+00,-1.644745919197990514e+00,1.393133209575390197e+01,6.723528991977340752e+01
5.882352941176470118e+00,1.416062030827829554e+00,9.487973939802165191e+00,-4.416012912865783591e+01
6.078431372549019329e+00,2.745961484959851262e-01,-1.929580384055640252e+01,-7.945111264022594355e+01
6.274509803921568540e+00,-3.557247502416965190e+00,-1.339603687591527326e+01,2.721726147609722091e+01
6.470588235294117752e+00,-4.357330434682360476e+00,2.179703834665378093e+00,1.760218190507021419e+01
6.666666666666666963e+00,-4.327876052710569077e+00,-3.557363810901644552e+00,-1.795674183942246671e+01
6.862745098039215286e+00,-4.788327587219074921e+00,3.241122986795690331e+00,5.789944066336094153e+01
7.058823529411764497e+00,-2.543809132755341818e+00,1.652612879298300186e+01,3.165432700956366929e+01
7.254901960784313708e+00,-3.451459221067002536e-01,1.781945035405815503e+00,-5.462395026241171081e+01
7.450980392156862919e+00,-1.425980725997460841e+00,-7.802549390809710772e+00,-6.675446777714007851e+00
7.647058823529411242e+00,-2.122059557828196663e+00,-1.733986372403708842e-01,-2.675679805596071326e+00
7.843137254901960453e+00,-2.898113514163052074e+00,-1.061887669574023185e+01,-6.065808390773725023e+01
8.039215686274509665e+00,-5.641279820704292902e+00,-1.134504466666865774e+01,2.943160696655888486e+01
8.235294117647057988e+00,-5.310650698457721752e+00,1.459961162495116227e+01,8.011403390040416639e+01
8.431372549019608087e+00,-2.042061366622037966e+00,1.226049414648479186e+01,-2.819841193941018886e+01
8.627450980392156410e+00,-1.468359931236648652e+00,-3.293896837262429322e+00,-1.508030645441247408e+01
8.823529411764706509e+00,-1.125333978794427203e+00,1.006375008402646642e+01,5.927495640877206995e+01
9.019607843137254832e+00,1.324585787399744419e+00,7.254112359810411803e+00,-4.629273671594739881e+01
9.215686274509803155e+00,-4.017577430782752756e-01,-2.414766159115414368e+01,-1.047916865610188353e+02
9.411764705882353255e+00,-5.619794900553562123e+00,-2.127881766374261829e+01,2.723390516967840824e+01
9.607843137254901578e+00,-6.589060883094101762e+00,1.100171318932138220e+01,8.353759930559917279e+01
9.803921568627451677e+00,-3.240237541438502067e+00,1.802400379566994104e+01,2.434560066646776022e+01
1.000000000000000000e+01,-2.491777188426931300e-01,1.237669117338321634e+01,9.030212720137603455e+00
1.019607843137254832e+01,1.464463709040825012e+00,3.599824419937760922e+00,-2.500034580755684033e+01
1.039215686274509842e+01,3.247788239998461446e-01,-1.620997550903284790e+01,-8.013490193555037422e+01
1.058823529411764675e+01,-3.881194093166450365e+00,-2.180543318832287980e+01,-1.681717956723121787e+01
1.078431372549019507e+01,-6.338362470409051319e+00,-1.466602480674001896e-01,6.753187212684746044e+01
1.098039215686274517e+01,-4.478939410824751555e+00,1.434284145204394889e+01,3.340840856783717072e+01
1.117647058823529349e+01,-2.179885984367417429e+00,7.844818561409400814e+00,-8.725882930571660978e+00
1.137254901960784359e+01,-1.232157719510079019e+00,2.689636474355086904e+00,-7.667955839103608895e+00
1.156862745098039191e+01,-1.144359316942622717e+00,-2.606120814395156859e+00,-2.885315556543552873e+01
1.176470588235294024e+01,-2.259219086814240995e+00,-7.300113202580713612e+00,-1.556476812441658453e+01
1.196078431372549034e+01,-3.148448130557806479e+00,-2.549186603503050819e-01,2.428302290869716629e+01
1.215686274509803866e+01,-2.528801428300745613e+00,4.603740823491945022e+00,3.058768494280027284e+00
1.235294117647058876e+01,-1.884314181863133042e+00,2.432867043468260437e+00,3.467159153138591687e+00
1.254901960784313708e+01,-9.031084478689757056e-01,8.598603265253501604e+00,2.969617726192550577e+01
1.274509803921568540e+01,7.340601928155374711e-01,3.992904422280506793e+00,-3.126731577767117187e+01
1.294117647058823550e+01,-2.917433349862725844e-01,-1.288517511818731620e+01,-4.621194457308507708e+01
1.313725490196078383e+01,-2.390662533809785550e+00,-3.458409676709241154e+00,4.386801038691963583e+01
1.333333333333333393e+01,-1.162902714523260661e+00,1.292023975817750525e+01,3.085763318395602894e+01
1.352941176470588225e+01,7.171253803649630942e-01,2.698636697614102964e+00,-3.351992063026887791e+01
1.372549019607843057e+01,1.069723367218914367e-01,-5.728576391863978934e+00,-7.866895882021930575e+00
1.392156862745098067e+01,-6.700040460254275132e-01,-2.214698582670235893e+00,-2.675644953322407815e+00
1.411764705882352899e+01,-9.483436714988572325e-01,3.881317367622152403e-01,1.710127079587417498e+01
1.431372549019607909e+01,3.983826835762203089e-01,1.432520072056086136e+01,6.206094381086011680e+01
1.450980392156862742e+01,3.233922526526543884e+00,7.398661375171179166e+00,-5.916672160149928317e+01
1.470588235294117574e+01,1.125979408518797298e+00,-2.856655180144831974e+01,-1.161728753992857293e+02
1.490196078431372584e+01,-4.358677107925802652e+00,-1.555851810482948672e+01,8.552238036150639289e+01
1.509803921568627416e+01,-2.891289276429198196e+00,2.634810718546573582e+01,1.041767766714641823e+02
1.529411764705882248e+01,1.860119163040971468e+00,1.139834144180166930e+01,-6.899571466172299949e+01
1.549019607843137258e+01,1.276465394959604316e+00,-9.474525247459240518e+00,1.928864189151050290e+00
1.568627450980392091e+01,1.155559927582601176e+00,9.106702052506971512e+00,5.060536718882983820e+01
1.588235294117647101e+01,2.033451580308247131e+00,-9.543063928613413793e+00,-1.224985393191486338e+02
1.607843137254901933e+01,-3.421169840590467359e+00,-3.800185291295861134e+01,-7.126414744863960493e+01
1.627450980392156765e+01,-8.333875220106476078e+00,-2.194159269656800859e+00,1.299017652394280731e+02
1.647058823529411598e+01,-4.373245264319742809e+00,3.426320351284041266e+01,9.415001500333914919e+01
1.666666666666666785e+01,1.856586491331107869e+00,2.354629597825723408e+01,-9.539554310813967319e+00
1.686274509803921617e+01,4.211815078725442696e+00,8.348412750548317440e-01,-6.128591169911706515e+01
1.705882352941176450e+01,1.915722034657338035e+00,-2.470335976197476313e+01,-1.062182852290316362e+02
1.725490196078431282e+01,-3.971508097136369209e+00,-2.755147195744244470e+01,-1.444145573892556378e+00
1.745098039215686114e+01,-6.299173123613185155e+00,6.746453080743595621e+00,1.035074408203620351e+02
1.764705882352941302e+01,-2.952350405904581088e+00,1.960267606936580975e+01,1.699344988698463510e+01
1.784313725490196134e+01,-4.822828701363955917e-01,5.131237166732493193e+00,-2.081621040953929125e+01
1.803921568627450966e+01,1.427428247114884696e-01,3.970099599551696556e+00,1.808812276688774290e+01
1.823529411764705799e+01,8.026660632475405288e-01,-3.772173224355472865e-01,-3.129185452921959865e+01
1.843137254901960631e+01,-5.486616798438455067e-01,-1.122302943920627349e+01,-2.754614881034548191e+01
1.862745098039215819e+01,-2.097944453495514949e+00,-2.348267986583238098e+00,2.119100511627053507e+01
1.882352941176470651e+01,-1.952583267870178441e+00,4.806057577434313388e-01,-2.088758347194856668e+01
1.901960784313725483e+01,-2.536300718809514798e+00,-4.600128509522305009e+00,-2.769471051675460149e+00
1.921568627450980316e+01,-2.300616014297340417e+00,9.817461219672061645e+00,6.535597902888608246e+01
1.941176470588235148e+01,8.745367839081756856e-01,1.750827442132641565e+01,1.626970795122058533e+01
1.960784313725490335e+01,2.818038902542187696e+00,8.961936901885235729e-01,-4.251325596859464184e+01
1.980392156862745168e+01,1.479670254027314780e+00,-1.327521085640861465e+01,-4.814828152038970188e+01
2.000000000000000000e+01,-1.785997603469802186e+00,-1.774236984964412400e+01,-3.206919568079128169e+01
2.019607843137254832e+01,-4.255530248405421823e+00,-3.381237332028259601e+00,6.586220480796683319e+01
2.039215686274509665e+01,-2.043992183449905298e+00,2.483917444522632678e+01,9.509961597847426162e+01
2.058823529411764852e+01,2.918391766600616499e+00,1.664249271376630901e+01,-4.605444438735323587e+01
2.078431372549019684e+01,2.731209127261746250e+00,-1.766258530885870570e+01,-1.011561097899364370e+02
2.098039215686274517e+01,-1.953221098895636221e+00,-2.249679172927071491e+01,-1.016271715274162979e+01
2.117647058823529349e+01,-4.497407159517814002e+00,-2.778769488878687355e+00,5.076902562015525433e+01
2.137254901960784181e+01,-3.263372203235863189e+00,1.413169517429748367e+01,6.151549544060369357e+01
2.156862745098039014e+01,2.207212370311326666e-01,1.729801792366915336e+01,6.879383572570441530e+00
2.176470588235294201e+01,1.758585005360274733e+00,-3.460266101877740752e+00,-5.885184855192250808e+01
2.196078431372549034e+01,-3.195783611187044126e-01,-1.250303456692321724e+01,-7.764614893374580440e+00
2.215686274509803866e+01,-1.566345884712412317e+00,-2.865840209095389390e-01,1.314809618905876221e+01
2.235294117647058698e+01,-1.773176203907511184e+00,-5.445117518266476608e+00,-4.843440120555167994e+01
2.254901960784313530e+01,-3.592581168997225571e+00,-8.794630473009911853e+00,1.441668311842640016e+01
2.274509803921568718e+01,-3.414135106022242905e+00,1.211215981446952838e+01,7.700053783692072784e+01
2.294117647058823550e+01,-8.749757405428781887e-02,1.567557084175752458e+01,-6.402542602533543459e+00
2.313725490196078383e+01,1.258975254433281066e+00,-6.759572050487694383e-01,-1.803495571662728025e+01
2.333333333333333215e+01,1.008324304602790988e+00,6.122926032916664596e-02,1.025904328372531893e+01
2.352941176470588047e+01,5.179651429546912045e-01,-9.067456287700203177e+00,-6.561241120753098244e+01
2.372549019607843235e+01,-2.898843291480708295e+00,-2.216027282716416380e+01,-4.377069537898952944e+01
2.392156862745098067e+01,-6.009164767496986137e+00,-4.436759942503918808e+00,6.933841158634588453e+01
2.411764705882352899e+01,-4.430413896742765090e+00,1.668217474279997958e+01,5.645100427738859139e+01
2.431372549019607732e+01,-1.118342649957272616e+00,1.492005475968411332e+01,7.764166139252681731e+00
2.450980392156862564e+01,9.481113403673306905e-01,5.102231238442084482e+00,-2.064587844422630170e+01
2.470588235294117752e+01,2.200243182853272583e-01,-1.399083243084605499e+01,-8.037874350946935920e+01
2.490196078431372584e+01,-3.852234768115700092e+00,-2.250600384351108474e+01,-2.018458777589664166e+01
2.509803921568627416e+01,-6.066220040599523244e+00,5.240686640398488194e+00,1.078045578811199476e+02
2.529411764705882248e+01,-2.348997933846947994e+00,2.555165593505410015e+01,3.807795867053522443e+01
2.549019607843137081e+01,5.316702780892410551e-01,-2.925004889318845613e+00,-1.121466468340223770e+02
2.568627450980392268e+01,-3.346577299024354524e+00,-2.969116423051924514e+01,-6.839455474810687008e+01
2.588235294117647101e+01,-7.748256955174448457e+00,-6.599833113229703230e+00,9.379879402562403357e+01
2.607843137254901933e+01,-4.865895137792561442e+00,3.167980004283285922e+01,1.174958459962462598e+02
2.627450980392156765e+01,1.540509896208195784e+00,2.390960709447429622e+01,-3.938098425004485392e+01
2.647058823529411598e+01,2.135048133591415098e+00,-1.747556026921064287e+01,-1.173346324563255934e+02
2.666666666666666785e+01,-2.841623484318845261e+00,-2.381112173244533636e+01,-1.330482470580706789e+00
2.686274509803921617e+01,-5.238381068838520171e+00,-9.546949885113136247e-01,4.398282498709367871e+01
2.705882352941176450e+01,-5.016134399731602578e+00,-2.241013890163225497e+00,-3.508701283485824263e+01
2.725490196078431282e+01,-6.457750585650567032e+00,-8.017603882639290802e+00,1.116432709960913527e+01
2.745098039215686114e+01,-5.925178984593209464e+00,1.624351458849705310e+01,1.023680443305411245e+02
2.764705882352941302e+01,-1.110759412094242116e+00,2.683721410058228329e+01,2.436829451488645759e+01
2.784313725490196134e+01,1.786912366935601959e+00,-1.792721549365003497e+00,-9.194092984118886136e+01
2.803921568627450966e+01,-1.584233593149666497e+00,-2.787243853542162952e+01,-8.461158848563887602e+01
2.823529411764705799e+01,-7.033240490994713490e+00,-2.256446305584987044e+01,7.330627465599478754e+00
2.843137254901960631e+01,-8.800215039542450768e+00,5.173577437882592278e+00,7.579824685348849300e+01
2.862745098039215819e+01,-5.843434180716443826e+00,2.004498774471133515e+01,3.745881915697672326e+01
2.882352941176470651e+01,-2.892151689778435397e+00,7.977042796521168100e+00,-2.287555735844799898e+01
2.901960784313725483e+01,-2.389645685581295087e+00,-4.234875669663248354e-01,-7.080895754791579400e+00
2.921568627450980316e+01,-2.385778023921664381e+00,5.242392661207764260e-01,-3.327339104780481449e+00
2.941176470588235148e+01,-2.472719813251713195e+00,-1.478265025480571815e+00,-7.124314160054328937e+00
2.960784313725489980e+01,-2.423591703422116161e+00,3.614271139463481219e+00,2.485158529886308543e+01
2.980392156862745168e+01,-1.419600920208921480e+00,2.470434993127837320e+00,-3.994235953809674555e+01
3.000000000000000000e+01,-3.146932164383767994e+00,-2.100142835854015999e+01,-9.395946626910767918e+01
