tempo,posizione,velocita,input
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000200020002000211e-03,9.998607191086630763e+00,-1.388930453131653531e+00,2.000198686268853717e-03
4.000400040004000422e-03,9.994458643671913833e+00,-2.755422591265384469e+00,4.000389370145231334e-03
6.000600060006000200e-03,9.987599297636416296e+00,-4.099453203503186316e+00,6.000564049268672373e-03
8.000800080008000845e-03,9.978074129042042273e+00,-5.421005647703882602e+00,8.000714721342750205e-03
1.000100010001000149e-02,9.965928111121733934e+00,-6.720069582959807164e+00,1.000083338416708073e-02
1.200120012001200040e-02,9.951206214279476825e+00,-7.996640969596802151e+00,1.200091203566934668e-02
1.400140014001400104e-02,9.933953406090289207e+00,-9.250722069174225126e+00,1.400094267393731107e-02
1.600160016001600169e-02,9.914214608730176792e+00,-1.048232123485890099e+01,1.600091729725081763e-02
1.800180018001800233e-02,9.892024239408671704e+00,-1.169140196301780144e+01,1.800082790411382597e-02
2.000200020002000298e-02,9.867421549826033811e+00,-1.287795952310490932e+01,2.000066649328640506e-02
2.200220022002200362e-02,9.840454771075908269e+00,-1.404203934039932555e+01,2.200042506381675797e-02
2.400240024002400080e-02,9.811171783673898972e+00,-1.518369056031716546e+01,2.400009561507321365e-02
2.600260026002600144e-02,9.779620117557564996e+00,-1.630296604841155883e+01,2.599967014677627072e-02
2.800280028002800209e-02,9.745846952086427706e+00,-1.739992239037265165e+01,2.799914065903056498e-02
3.000300030003000273e-02,9.709899116041960099e+00,-1.847461989202759014e+01,2.999849915235689585e-02
3.200320032003200338e-02,9.671823087627595683e+00,-1.952712257934054207e+01,3.199773762772423202e-02
3.400340034003400402e-02,9.631664994468724927e+00,-2.055749819841269499e+01,3.399684808658171020e-02
3.600360036003600467e-02,9.589470613612693484e+00,-2.156581821548223132e+01,3.599582253089062683e-02
3.800380038003800531e-02,9.545285371528807516e+00,-2.255215781692436394e+01,3.799465296315645418e-02
4.000400040004000596e-02,9.499154344108326598e+00,-2.351659590925130061e+01,3.999333138646082864e-02
4.200420042004200660e-02,9.451122256664472587e+00,-2.445921511911229018e+01,4.199184980449353899e-02
4.400440044004400725e-02,9.401233483932420754e+00,-2.538010179329356220e+01,4.399020022158452170e-02
4.600460046004600789e-02,9.349532050069303324e+00,-2.627934599871837662e+01,4.598837464273585612e-02
4.800480048004800160e-02,9.296061628654213038e+00,-2.715704152244699543e+01,4.798636507365373893e-02
5.000500050005000224e-02,9.240865542688194267e+00,-2.801328587167672168e+01,4.998416352078048630e-02
5.200520052005200289e-02,9.183986764594259000e+00,-2.884818027374183202e+01,5.198176199132649444e-02
5.400540054005400353e-02,9.125467916217363751e+00,-2.966182967611364774e+01,5.397915249330222792e-02
5.600560056005600418e-02,9.065351268824430875e+00,-3.045434274640047079e+01,5.597632703555018713e-02
5.800580058005800482e-02,9.003678743104337912e+00,-3.122583187234766200e+01,5.797327762777688964e-02
6.000600060006000547e-02,8.940491909167919360e+00,-3.197641316183754157e+01,5.996999628058483078e-02
6.200620062006200611e-02,8.875831986547964902e+00,-3.270620644288948142e+01,6.196647500550444415e-02
6.400640064006400676e-02,8.809739844199226511e+00,-3.341533526365984841e+01,6.396270581502606911e-02
6.600660066006600046e-02,8.742256000498407786e+00,-3.410392689244203268e+01,6.595868072263191828e-02
6.800680068006800805e-02,8.673420623244174621e+00,-3.477211231766643351e+01,6.795439174282799644e-02
7.000700070007000175e-02,8.603273529657146312e+00,-3.542002624790045928e+01,6.994983089117606800e-02
7.200720072007200934e-02,8.531854186379899119e+00,-3.604780711184853459e+01,7.194499018432563842e-02
7.400740074007400304e-02,8.459201709476973363e+00,-3.665559705835207893e+01,7.393986164004578976e-02
7.600760076007601063e-02,8.385354864434857447e+00,-3.724354195638957066e+01,7.593443727725725234e-02
7.800780078007800433e-02,8.310352066162002060e+00,-3.781179139507644749e+01,7.792870911606421258e-02
8.000800080008001192e-02,8.234231378988814853e+00,-3.836049868366519888e+01,7.992266917778635682e-02
8.200820082008200562e-02,8.157030516667660436e+00,-3.888982085154530211e+01,8.191630948499066533e-02
8.400840084008401321e-02,8.078786842372860377e+00,-3.939991864824327905e+01,8.390962206152341452e-02
8.600860086008600691e-02,7.999537368700694984e+00,-3.989095654342261099e+01,8.590259893254206802e-02
8.800880088008801450e-02,7.919318757669397080e+00,-4.036310272688384515e+01,8.789523212454720957e-02
9.000900090009000820e-02,7.838167320719163556e+00,-4.081652910856450944e+01,8.988751366541433696e-02
9.200920092009201579e-02,7.756119018712142044e+00,-4.125141131853916221e+01,9.187943558442590586e-02
9.400940094009400949e-02,7.673209461932442466e+00,-4.166792870701936380e+01,9.387098991230310996e-02
9.600960096009600320e-02,7.589473910086131703e+00,-4.206626434435369788e+01,9.586216868123782764e-02
9.800980098009801078e-02,7.504944148751882871e+00,-4.244654417408514746e+01,9.785296392492444373e-02
1.000100010001000045e-01,7.419647201677013193e+00,-4.280878009644436588e+01,9.984336767859176842e-02
1.020102010201020121e-01,7.333621186286226390e+00,-4.315317550442513550e+01,1.018333719790348868e-01
1.040104010401040058e-01,7.246904472024474408e+00,-4.347994762736501428e+01,1.038229688646469945e-01
1.060106010601060134e-01,7.159534884206335548e+00,-4.378931319844681980e+01,1.058121503754513026e-01
1.080108010801080071e-01,7.071549704016026006e+00,-4.408148845469865051e+01,1.078009085531328182e-01
1.100110011001100146e-01,6.982985668507388333e+00,-4.435668913699386451e+01,1.097892354410702487e-01
1.120112011201120084e-01,6.893878970603902978e+00,-4.461513049005108655e+01,1.117771230843677965e-01
1.140114011401140159e-01,6.804265259098677632e+00,-4.485702726243422234e+01,1.137645635298869945e-01
1.160116011601160096e-01,6.714179638654456994e+00,-4.508259370655242293e+01,1.157515488262785136e-01
1.180118011801180172e-01,6.623656669803613006e+00,-4.529204357866012742e+01,1.177380710240139988e-01
1.200120012001200109e-01,6.532730368948153732e+00,-4.548559013885704161e+01,1.197241221754178214e-01
1.220122012201220185e-01,6.441434208359717140e+00,-4.566344615108813088e+01,1.217096943346989979e-01
1.240124012401240122e-01,6.349801116179575544e+00,-4.582582388314364152e+01,1.236947795579828036e-01
1.260126012601260059e-01,6.257863476418632054e+00,-4.597293510665907235e+01,1.256793699033427192e-01
1.280128012801280135e-01,6.165653128957420570e+00,-4.610499109711520305e+01,1.276634574308320724e-01
1.300130013001300211e-01,6.073201369546111117e+00,-4.622220263383807293e+01,1.296470342025158873e-01
1.320132013201320009e-01,5.980538949804503623e+00,-4.632477999999900220e+01,1.316300922825026365e-01
1.340134013401340085e-01,5.887696077222027924e+00,-4.641293298261457778e+01,1.336126237369759939e-01
1.360136013601360161e-01,5.794702415157749975e+00,-4.648687087254663197e+01,1.355946206342264759e-01
1.380138013801380237e-01,5.701587082840366527e+00,-4.654680246450229220e+01,1.375760750446833047e-01
1.400140014001400035e-01,5.608378655368207788e+00,-4.659293605703393837e+01,1.395569790409460775e-01
1.420142014201420111e-01,5.515105163709232983e+00,-4.662547945253923842e+01,1.415373246978165189e-01
1.440144014401440187e-01,5.421794094701036570e+00,-4.664463995726110568e+01,1.435171040923301222e-01
1.460146014601460263e-01,5.328472391050842916e+00,-4.665062438128773437e+01,1.454963093037879018e-01
1.480148014801480061e-01,5.235166451335511617e+00,-4.664363903855258542e+01,1.474749324137879791e-01
1.500150015001500137e-01,5.141902130001531290e+00,-4.662388974683439358e+01,1.494529655062575013e-01
1.520152015201520213e-01,5.048704737365023121e+00,-4.659158182775713897e+01,1.514304006674840331e-01
1.540154015401540288e-01,4.955599039611746193e+00,-4.654692010679010394e+01,1.534072299861473920e-01
1.560156015601560087e-01,4.862609258797083278e+00,-4.649010891324782335e+01,1.553834455533512071e-01
1.580158015801580162e-01,4.769759072846053272e+00,-4.642135208029008453e+01,1.573590394626546984e-01
1.600160016001600238e-01,4.677071615553309414e+00,-4.634085294492196283e+01,1.593340038101041245e-01
1.620162016201620037e-01,4.584569476583134851e+00,-4.624881434799381452e+01,1.613083306942644790e-01
1.640164016401640112e-01,4.492274701469442633e+00,-4.614543863420122705e+01,1.632820122162512155e-01
1.660166016601660188e-01,4.400208791615783710e+00,-4.603092765208508297e+01,1.652550404797616945e-01
1.680168016801680264e-01,4.308392704295336273e+00,-4.590548275403153866e+01,1.672274075911067970e-01
1.700170017001700062e-01,4.216846852650914634e+00,-4.576930479627198878e+01,1.691991056592425935e-01
1.720172017201720138e-01,4.125591105694962124e+00,-4.562259413888313020e+01,1.711701267958018469e-01
1.740174017401740214e-01,4.034644788309554642e+00,-4.546555064578689809e+01,1.731404631151256257e-01
1.760176017601760290e-01,3.944026681246401100e+00,-4.529837368475052983e+01,1.751101067342947237e-01
1.780178017801780088e-01,3.853755021126845204e+00,-4.512126212738650111e+01,1.770790497731613289e-01
1.800180018001800164e-01,3.763847500441857452e+00,-4.493441434915256849e+01,1.790472843543805814e-01
1.820182018201820240e-01,3.674321267552047132e+00,-4.473802822935175527e+01,1.810148026034419100e-01
1.840184018401840316e-01,3.585192926687648107e+00,-4.453230115113235854e+01,1.829815966487007284e-01
1.860186018601860114e-01,3.496478537948532583e+00,-4.431743000148792788e+01,1.849476586214097440e-01
1.880188018801880190e-01,3.408193617304203116e+00,-4.409361117125730800e+01,1.869129806557506823e-01
1.900190019001900266e-01,3.320353136593794829e+00,-4.386104055512458899e+01,1.888775548888654843e-01
1.920192019201920064e-01,3.232971523526072311e+00,-4.361991355161913475e+01,1.908413734608879475e-01
1.940194019401940140e-01,3.146062661679436268e+00,-4.337042506311559009e+01,1.928044285149751458e-01
1.960196019601960216e-01,3.059639890501917314e+00,-4.311276949583384521e+01,1.947667121973387649e-01
1.980198019801980291e-01,2.973716005311179522e+00,-4.284714075983907833e+01,1.967282166572766333e-01
2.000200020002000090e-01,2.888303257294517756e+00,-4.257373226904173436e+01,1.986889340472040855e-01
2.020202020202020166e-01,2.803425101292761124e+00,-4.229270271782517909e+01,2.006488565226854093e-01
2.040204020402040241e-01,2.719111433926789445e+00,-4.200421476264430254e+01,2.026079762424651265e-01
2.060206020602060317e-01,2.635377089887041446e+00,-4.170848759664310990e+01,2.045662853684994120e-01
2.080208020802080116e-01,2.552236438274361419e+00,-4.140573825219214399e+01,2.065237760659874855e-01
2.100210021002100191e-01,2.469703482916486337e+00,-4.109618125709894088e+01,2.084804405034030028e-01
2.120212021202120267e-01,2.387791862368049856e+00,-4.078002863460801564e+01,2.104362708525251979e-01
2.140214021402140343e-01,2.306514849910580089e+00,-4.045748990340087659e+01,2.123912592884704131e-01
2.160216021602160141e-01,2.225885353552501389e+00,-4.012877207759602527e+01,2.143453979897232409e-01
2.180218021802180217e-01,2.145915916029129011e+00,-3.979407966674892805e+01,2.162986791381680263e-01
2.200220022002200293e-01,2.066618714802676671e+00,-3.945361467585205162e+01,2.182510949191198424e-01
2.220222022202220369e-01,1.988005562062251652e+00,-3.910757660533486302e+01,2.202026375213560483e-01
2.240224022402240167e-01,1.910087904723857699e+00,-3.875616245106378699e+01,2.221532991371473198e-01
2.260226022602260243e-01,1.832876824430388796e+00,-3.839956670434226282e+01,2.241030719622890965e-01
2.280228022802280319e-01,1.756383037551638937e+00,-3.803798135191068752e+01,2.260519481961325849e-01
2.300230023002300117e-01,1.680616895184294801e+00,-3.767159587594647263e+01,2.279999200416160943e-01
2.320232023202320193e-01,1.605588383151937082e+00,-3.730059725406399451e+01,2.299469797052962894e-01
2.340234023402340269e-01,1.531307122005042043e+00,-3.692516995931462986e+01,2.318931193973791938e-01
2.360236023602360345e-01,1.457782367020981296e+00,-3.654549596018673441e+01,2.338383313317515255e-01
2.380238023802380143e-01,1.385023008204022021e+00,-3.616175472060566420e+01,2.357826077260116449e-01
2.400240024002400219e-01,1.313037570285322975e+00,-3.577412319993374012e+01,2.377259408015010289e-01
2.420242024202420295e-01,1.241834212722940478e+00,-3.538277585297027628e+01,2.396683227833350249e-01
2.440244024402440370e-01,1.171420729701825314e+00,-3.498788462995159421e+01,2.416097459004341308e-01
2.460246024602460169e-01,1.101804550133823835e+00,-3.458961897655098028e+01,2.435502023855551090e-01
2.480248024802480244e-01,1.032992737657675075e+00,-3.418814583387869988e+01,2.454896844753220175e-01
