tempo,posizione,velocita,input
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,-2.059492514202641011e+00
2.000200020002000211e-03,9.998603430093153221e+00,-1.392645674212435569e+00,-1.702645157868678760e+00
4.000400040004000422e-03,9.994446966164430179e+00,-2.761605208473068895e+00,-4.317350911741892894e-01
6.000600060006000200e-03,9.987576531117339229e+00,-4.106900633137157364e+00,-1.821765308828673380e-01
8.000800080008000845e-03,9.978037198745866476e+00,-5.428776614610412388e+00,-1.247893304857832231e+00
1.000100010001000149e-02,9.965874928015463041e+00,-6.727395906406294479e+00,-8.912008090490676215e-01
1.200120012001200040e-02,9.951136563063032625e+00,-8.002839349146011472e+00,6.318928840988863316e-01
1.400140014001400104e-02,9.933869833196942167e+00,-9.255105870558534065e+00,-1.737480618151108658e+00
1.600160016001600169e-02,9.914123331070079814e+00,-1.048411947020658630e+01,1.779498117389754386e+00
1.800180018001800233e-02,9.891941850769297773e+00,-1.169084995043378861e+01,-5.799977154562228066e-01
2.000200020002000298e-02,9.867366817311514993e+00,-1.287620957596475435e+01,4.484047664086391327e-01
2.200220022002200362e-02,9.840441192757701572e+00,-1.404033212744406001e+01,-8.025470869205342250e-01
2.400240024002400080e-02,9.811208136896246046e+00,-1.518324484464285895e+01,8.053184580496751677e-01
2.600260026002600144e-02,9.779711007242958942e+00,-1.630486842645890277e+01,-6.112699643622251378e-01
2.800280028002800209e-02,9.745993359041071002e+00,-1.740501703091652175e+01,-9.312793506297918356e-01
3.000300030003000273e-02,9.710098945261229630e+00,-1.848339827516663547e+01,9.624790315016591435e-01
3.200320032003200338e-02,9.672071716601509550e+00,-1.953961323548674756e+01,-1.797570748118010986e+00
3.400340034003400402e-02,9.631955821487400371e+00,-2.057315644728095805e+01,2.461283005650074518e-01
3.600360036003600467e-02,9.589795606071813694e+00,-2.158341590507994567e+01,1.268428535420398795e+00
3.800380038003800531e-02,9.545635614402065983e+00,-2.256973400282403119e+01,2.730851319778504482e-01
4.000400040004000596e-02,9.499520585829740682e+00,-2.353402588508983584e+01,2.286101019719113392e-01
4.200420042004200660e-02,9.451495244131537632e+00,-2.447732430654145119e+01,-1.319278751823607765e+00
